Row Labels,Balls Faced,Sum of runs_off_bat,Count of wicket_type,Strike Rate
A Badoni,5,3,,166.6666667
A Mishra,5,1,1,500
AB de Villiers,86,125,3,68.8
Abdul Samad,10,20,1,50
Abhishek Sharma,11,8,1,137.5
AD Nath,4,4,,100
AD Russell,45,56,4,80.35714286
AJ Finch,29,24,1,120.8333333
AJ Turner,1,0,1,#DIV/0!
AJ Tye,7,11,,63.63636364
AK Markram,2,2,,100
AM Rahane,41,49,,83.67346939
Anuj Rawat,10,7,,142.8571429
AR Patel,41,40,3,102.5
AS Rajpoot,6,5,,120
AT Carey,6,10,,60
AT Rayudu,44,60,2,73.33333333
B Kumar,8,7,,114.2857143
BA Stokes,22,27,,81.48148148
Basil Thampi,2,1,,200
BB McCullum,23,39,1,58.97435897
BCJ Cutting,3,5,1,60
BE Hendricks,1,0,1,#DIV/0!
BJ Hodge,8,12,,66.66666667
C de Grandhomme,11,2,1,550
C Munro,3,1,,300
C Sakariya,6,1,,600
CA Ingram,6,3,,200
CA Lynn,27,33,2,81.81818182
CA Pujara,7,4,,175
CH Gayle,53,37,,143.2432432
CH Morris,14,15,,93.33333333
CJ Anderson,1,1,,100
CJ Jordan,2,1,,200
CR Woakes,6,6,1,100
D Padikkal,21,14,2,150
D Pretorius,8,12,,66.66666667
D Wiese,3,8,,37.5
DA Miller,28,42,,66.66666667
DA Warner,47,54,,87.03703704
DJ Bravo,28,35,4,80
DJ Hooda,21,25,1,84
DJ Hussey,10,13,,76.92307692
DJM Short,6,4,1,150
DL Chahar,8,6,1,133.3333333
DPMD Jayawardene,4,10,,40
DR Sams,2,0,1,#DIV/0!
DR Smith,22,28,,78.57142857
DS Kulkarni,2,5,,40
DT Christian,10,6,1,166.6666667
E Lewis,7,9,1,77.77777778
EJG Morgan,15,12,2,125
F du Plessis,38,61,,62.29508197
G Gambhir,33,29,1,113.7931034
GJ Bailey,11,17,1,64.70588235
GJ Maxwell,39,44,5,88.63636364
Gurkeerat Singh,6,2,,300
Harbhajan Singh,1,1,,100
Harpreet Brar,10,9,,111.1111111
HH Pandya,3,6,,50
HM Amla,9,13,,69.23076923
HV Patel,11,10,2,110
Imran Tahir,5,5,,100
Iqbal Abdulla,8,13,,61.53846154
