Batsman,No Of Wickets,Balls_ faced,Runs_Scored,Strike rate,Avg_per wicket
A Badoni,,18,16,88.88888889,#DIV/0!
AB de Villiers,3,43,45,104.6511628,15
Abhishek Sharma,1,23,47,204.3478261,47
AD Mathews,,2,2,100,#DIV/0!
AD Russell,2,17,11,64.70588235,5.5
AJ Finch,2,25,37,148,18.5
AK Markram,,19,19,100,#DIV/0!
AM Rahane,1,34,41,120.5882353,41
AR Patel,2,14,7,50,3.5
AS Rajpoot,,3,2,66.66666667,#DIV/0!
AT Rayudu,,65,79,121.5384615,#DIV/0!
Avesh Khan,1,4,12,300,12
BA Stokes,2,18,11,61.11111111,5.5
BB McCullum,1,4,2,50,2
BCJ Cutting,1,3,4,133.3333333,4
C de Grandhomme,,22,32,145.4545455,#DIV/0!
C Munro,1,6,1,16.66666667,1
CA Ingram,,3,2,66.66666667,#DIV/0!
CA Lynn,1,24,23,95.83333333,23
CH Gayle,3,33,54,163.6363636,18
CH Morris,1,10,3,30,3
CJ Anderson,,3,2,66.66666667,#DIV/0!
CJ Jordan,,4,0,0,#DIV/0!
D Padikkal,2,22,18,81.81818182,9
DA Miller,2,8,6,75,3
DJ Bravo,1,5,2,40,2
DJ Hooda,3,29,27,93.10344828,9
DR Smith,1,10,18,180,18
DS Kulkarni,,1,1,100,#DIV/0!
DT Christian,,1,1,100,#DIV/0!
E Lewis,,1,0,0,#DIV/0!
EJG Morgan,1,27,20,74.07407407,20
F du Plessis,3,35,19,54.28571429,6.333333333
FA Allen,,3,2,66.66666667,#DIV/0!
G Gambhir,1,12,7,58.33333333,7
GJ Maxwell,,42,49,116.6666667,#DIV/0!
Gurkeerat Singh,,11,11,100,#DIV/0!
Harbhajan Singh,,4,0,0,#DIV/0!
Harpreet Brar,,5,2,40,#DIV/0!
HE van der Dussen,,2,0,0,#DIV/0!
HH Pandya,2,37,27,72.97297297,13.5
HV Patel,,8,6,75,#DIV/0!
IR Jaggi,,3,2,66.66666667,#DIV/0!
Ishan Kishan,,55,74,134.5454545,#DIV/0!
JC Buttler,3,47,30,63.82978723,10
JDS Neesham,,8,9,112.5,#DIV/0!
JJ Roy,,1,1,100,#DIV/0!
JM Sharma,,4,3,75,#DIV/0!
JO Holder,1,2,1,50,1
JP Faulkner,,4,2,50,#DIV/0!
JR Philippe,1,8,3,37.5,3
K Rabada,,2,1,50,#DIV/0!
KA Pollard,2,47,26,55.31914894,13
KC Cariappa,,3,9,300,#DIV/0!
KD Karthik,3,29,31,106.8965517,10.33333333
KH Pandya,3,20,16,80,5.333333333
KK Nair,1,14,12,85.71428571,12
KL Rahul,3,30,18,60,6
KM Jadhav,1,8,6,75,6
KS Williamson,,8,6,75,#DIV/0!
Lalit Yadav,,8,10,125,#DIV/0!
LS Livingstone,3,19,26,136.8421053,8.666666667
M Prasidh Krishna,,2,1,50,#DIV/0!
M Shahrukh Khan,1,8,4,50,4
M Vohra,,17,39,229.4117647,#DIV/0!
MA Agarwal,1,23,23,100,23
Mandeep Singh,2,11,7,63.63636364,3.5
MC Henriques,,8,5,62.5,#DIV/0!
MK Lomror,,12,13,108.3333333,#DIV/0!
MK Pandey,,16,12,75,#DIV/0!
MK Tiwary,,4,3,75,#DIV/0!
MM Ali,3,33,52,157.5757576,17.33333333
MM Sharma,,1,1,100,#DIV/0!
Mohammed Shami,1,1,0,0,0
Mohammed Siraj,,2,0,0,#DIV/0!
MP Stoinis,1,8,6,75,6
MS Dhoni,1,34,24,70.58823529,24
Mujeeb Ur Rahman,,4,9,225,#DIV/0!
N Jagadeesan,,5,4,80,#DIV/0!
N Pooran,1,20,13,65,13
N Rana,1,66,75,113.6363636,75
NM Coulter-Nile,,1,1,100,#DIV/0!
NT Ellis,,1,1,100,#DIV/0!
P Ray Barman,,7,5,71.42857143,#DIV/0!
P Simran Singh,,3,1,33.33333333,#DIV/0!
PA Patel,,5,2,40,#DIV/0!
PBB Rajapaksa,,8,7,87.5,#DIV/0!
PJ Sangwan,,4,0,0,#DIV/0!
PP Chawla,1,10,4,40,4
PP Shaw,1,15,22,146.6666667,22
Q de Kock,1,32,28,87.5,28
R Ashwin,2,8,8,100,4
R Parag,,7,6,85.71428571,#DIV/0!
R Powell,,4,3,75,#DIV/0!
R Tewatia,,5,12,240,#DIV/0!
RA Jadeja,,26,18,69.23076923,#DIV/0!
RA Tripathi,1,26,35,134.6153846,35
RD Chahar,,4,7,175,#DIV/0!
RD Gaikwad,2,35,53,151.4285714,26.5
RG Sharma,3,21,23,109.5238095,7.666666667
RK Singh,,12,11,91.66666667,#DIV/0!
RM Patidar,,8,12,150,#DIV/0!
RR Pant,2,75,86,114.6666667,43
RV Uthappa,2,41,64,156.097561,32
S Dhawan,4,56,53,94.64285714,13.25
S Dube,,8,4,50,#DIV/0!
S Gopal,,8,8,100,#DIV/0!
SA Yadav,,30,33,110,#DIV/0!
SE Marsh,,12,11,91.66666667,#DIV/0!
SE Rutherford,,2,0,0,#DIV/0!
Shahbaz Ahmed,,1,1,100,#DIV/0!
Shivam Mavi,1,5,4,80,4
Shubman Gill,2,38,31,81.57894737,15.5
SK Raina,3,37,47,127.027027,15.66666667
SN Thakur,1,5,2,40,2
SO Hetmyer,2,33,43,130.3030303,21.5
SP Jackson,,7,8,114.2857143,#DIV/0!
SPD Smith,1,34,25,73.52941176,25
SR Watson,,47,82,174.4680851,#DIV/0!
SS Iyer,2,78,83,106.4102564,41.5
SS Tiwary,1,1,0,0,0
STR Binny,,4,2,50,#DIV/0!
SV Samson,1,84,81,96.42857143,81
SW Billings,,2,0,0,#DIV/0!
TH David,,3,3,100,#DIV/0!
Tilak Varma,,4,6,150,#DIV/0!
TM Head,1,9,15,166.6666667,15
UT Yadav,,4,4,100,#DIV/0!
V Kohli,2,46,54,117.3913043,27
V Shankar,,3,1,33.33333333,#DIV/0!
VR Iyer,1,9,9,100,9
Washington Sundar,1,10,7,70,7
WP Saha,1,4,1,25,1
YBK Jaiswal,1,9,13,144.4444444,13
YK Pathan,1,6,5,83.33333333,5
Grand Total,112,2212,2290,103.5262206,20.44642857
